identificacion,corte_mes,saldo
K2DBNBQ09G1QCCD7W,2024-06-30,1952587
D7UUQ6CP4DWYGZF0Z,2023-11-30,1286119
A4LKAXWACFA995KE1,2023-07-31,3232637
K2DBNBQ09G1QCCD7W,2023-08-31,5341776
E0P3U76BSR8JVOEAS,2023-01-31,6034172
3QWPW0GFU2JIA5UE4,2023-07-31,2078563
6O996AT92IZ9926S5,2023-06-30,4729796
Z4HM8TL716AK8U17L,2024-08-31,1433169
73LDIXZVJOQFRMHNZ,2024-01-31,3502399
KVXACS7SB5O59ARQP,2023-01-31,1639562
375WULANW2HVOVK5J,2024-07-31,6743833
G6R001Q73KLXUDPTV,2023-03-31,6103202
7AQPGU50TED28A7G6,2024-01-31,2599829
9F27PNL29KIWUI8V1,2023-02-28,430158
BJSA6PK9IP3QNY0GU,2024-04-30,6073588
RRS0030J6RHTUQ2RK,2024-02-29,6064578
RRS0030J6RHTUQ2RK,2023-02-28,1864454
D0HW4TD0CUW9XJQPX,2023-09-30,125472
T3ZXYYXXBKASGDXYG,2023-01-31,4905582
KLRH1ZESF492S056H,2023-05-31,1755627
BOWGL6ZFJ8V4E620T,2024-10-31,1844637
Y6PZ8ICUVSNUUVGC6,2023-09-30,4061095
1LFTDYT2H0I9ZG3S8,2023-08-31,5242465
OBPVWFPY1GIGMACGG,2023-10-31,1898270
NYD2J0FAEI05SQVAY,2023-02-28,1313388
KUD4O3VLEGN7O0D3B,2023-01-31,2212644
ORSVN3W6R6KI4L6K7,2024-04-30,335713
V1SRV6QGJWWC8JVW0,2024-10-31,6987381
5CS7MKN5CCCZTYEH8,2024-10-31,4440081
J899WRG0VOOF1WON0,2023-06-30,1550693
1LFTDYT2H0I9ZG3S8,2024-07-31,2262060
0TTW5R9RRCJ0A9E5F,2024-01-31,6288473
A4LKAXWACFA995KE1,2023-05-31,2984225
KXDUI2BQC1ZQ25O4C,2023-12-31,837286
FA2OC6FGIMI4S37PU,2023-05-31,2739365
4TL0TI5WAALM6P0AH,2023-08-31,6245758
0TTW5R9RRCJ0A9E5F,2024-08-31,1605607
XRD31U4F7GM99U92O,2024-08-31,5840103
IC9TR053SOF1562RK,2024-05-31,4661083
DWJ0GFUKS12L7Y0G9,2023-10-31,1454249
D0HW4TD0CUW9XJQPX,2023-02-28,1010390
SUK8675QWKY38XUZB,2023-11-30,5343028
X4YOXMSTBUXXCUOGK,2023-06-30,2866238
6N7C2M20A97S9IENG,2024-02-29,5379763
9IL03MCKH41ZX8EVC,2024-10-31,6169570
UP8K03IYUM8HZ8NLC,2023-09-30,6673387
L8NOLOQ0MHSBXLPC8,2023-08-31,5076148
9IL03MCKH41ZX8EVC,2023-08-31,5553284
AERG7GPQIBQXOGOHX,2023-01-31,1969443
Y144TELK1D0Z0KLVV,2024-03-31,6253565
OQ5Y6DD3YNNZYDOK7,2023-05-31,155807
VU97XYAGZZS7LOG4E,2024-03-31,4573876
BUDE132ZGBWCF5SIZ,2023-12-31,6889443
QNCADSU9WB6X6JEXE,2024-05-31,5956511
T3ZXYYXXBKASGDXYG,2024-06-30,1301663
C89YVYS8RINE8LHLO,2023-08-31,4335497
BOWGL6ZFJ8V4E620T,2023-12-31,6474374
MHREEFELDOONUMCHP,2024-02-29,5350253
HDTGP1H5F336COXZX,2024-12-31,2102714
Y9LTUSGD9M83VAB0I,2023-01-31,5225251
JTZWA92S5243CPZDG,2023-11-30,4336718
K7OLAZQZTOKBXBQVR,2023-01-31,1790575
SKH4GHZSBWP3QGNNK,2024-08-31,3730080
IAXUMLO4Y4HXEEHHC,2024-10-31,1131725
KLRH1ZESF492S056H,2023-04-30,2997320
FGGU9EADWBBLHKHYI,2023-12-31,2211279
NDN0JWDWD4PJPHKO9,2023-09-30,6958549
AERG7GPQIBQXOGOHX,2024-05-31,3213941
BUDE132ZGBWCF5SIZ,2023-09-30,6170916
HDTGP1H5F336COXZX,2023-04-30,701438
9G2XZ3XNAY7J6KTJN,2023-08-31,1255838
83Y10YDW1OI06N9ZM,2023-04-30,5584469
PEYORPWSHOAUXOPB8,2024-01-31,2727587
4GM0V34SHZCQY338K,2024-08-31,3695458
7MQU99ZO49YXI2EDE,2024-08-31,2433652
T3ZXYYXXBKASGDXYG,2023-07-31,2509507
V1SRV6QGJWWC8JVW0,2023-01-31,6261083
1LFTDYT2H0I9ZG3S8,2024-12-31,6203597
T16X6RLA2J523LYRZ,2023-12-31,5307232
5P7TLU9HROJCCH8XF,2024-10-31,5606014
63FO2A0KBYVLDNRAA,2023-02-28,2697704
5VVHS1PF81H0K03QN,2023-03-31,4741549
RRS0030J6RHTUQ2RK,2024-06-30,3790942
KUD4O3VLEGN7O0D3B,2023-05-31,1581255
WLHSCECOGSRZSUK44,2024-08-31,2030637
BJSA6PK9IP3QNY0GU,2023-10-31,5604118
THJ9OBJH3W6ANRCMS,2024-07-31,402125
6N7C2M20A97S9IENG,2023-02-28,3138053
L8NOLOQ0MHSBXLPC8,2024-01-31,5970729
BQLAQGMLUN5Y6VU3U,2024-02-29,71990
I9WWI0Z0BQBBIKN76,2023-09-30,3605204
3PS05CCLIJVJ8J2KT,2024-03-31,1311750
8JB7CPERPX344FYNY,2023-03-31,2314233
SSP73CDZATG8LX9V1,2024-04-30,2078461
AXH5M6W00RW6A1MRV,2023-12-31,2057810
JTZWA92S5243CPZDG,2023-06-30,5978375
GFMBMLM8423RIAEDD,2024-06-30,4884520
L8NOLOQ0MHSBXLPC8,2024-03-31,1912349
1MFXZRYV4MFOBXIAJ,2024-12-31,4735430
AXH5M6W00RW6A1MRV,2024-11-30,95745
PEYORPWSHOAUXOPB8,2023-02-28,5920684
FQJP2PBU50DG45YX3,2024-02-29,3212025
WLHSCECOGSRZSUK44,2024-01-31,6760520
PQHMTD7TS2Q7AM9C6,2024-05-31,5300433
J899WRG0VOOF1WON0,2023-09-30,6269975
E0ZB60NF3G5K4VREU,2023-03-31,2312735
DJXLPRMY5ZZMANLU6,2023-01-31,5870951
NDN0JWDWD4PJPHKO9,2023-05-31,3458137
KXDUI2BQC1ZQ25O4C,2024-07-31,3027700
KXDUI2BQC1ZQ25O4C,2024-02-29,6676794
6T645BU8TYM8VGXKO,2024-11-30,5527433
EX2GMK7UHXBM6P2OW,2024-12-31,2555605
6T645BU8TYM8VGXKO,2023-03-31,616238
FXIQJ8T0RNKU5YYZL,2024-02-29,4803680
4HER62QO48L3HOLG6,2023-05-31,1552205
R6XC1HPW2F2OYGFS2,2023-12-31,3432131
0TTW5R9RRCJ0A9E5F,2023-02-28,2724586
IC9TR053SOF1562RK,2023-09-30,4997717
K7OLAZQZTOKBXBQVR,2024-01-31,1185591
MUIZHHC8NUPU3856X,2024-08-31,1488475
FGGU9EADWBBLHKHYI,2024-06-30,5516684
U5I6FRV4Z2WTHAYXA,2023-10-31,1538939
K2DBNBQ09G1QCCD7W,2023-03-31,3497298
3PS05CCLIJVJ8J2KT,2023-05-31,5021086
ITDKGZGY3D1CQ22P4,2023-08-31,400863
5VVHS1PF81H0K03QN,2023-07-31,1575278
BUDE132ZGBWCF5SIZ,2024-08-31,82431
3PS05CCLIJVJ8J2KT,2024-12-31,2761722
SSP73CDZATG8LX9V1,2023-12-31,3011200
PSRCQ6DW4S2N7175C,2023-02-28,354243
09SYGN7IXDQV5X9IP,2024-05-31,5006980
GFMBMLM8423RIAEDD,2023-01-31,566292
5CS7MKN5CCCZTYEH8,2024-08-31,1342881
UXT0SVW2ICMQTZACJ,2023-02-28,4802357
DLTTACGP89H6U008M,2024-06-30,1459506
BJ37EOP5EGMDLO3MP,2023-01-31,4704737
VHX791SAUG7W7R63P,2024-09-30,4260169
A4JYPUIFCGXQSH8XL,2023-01-31,3529198
FBMRRTAV36KC40D1Z,2023-02-28,3013531
UOHQ6DHPAN7V486JH,2023-10-31,478896
VZPJAHRX89B2CPA40,2023-09-30,1976790
DLRDFJ40BGVP9H10W,2023-03-31,4760805
09SYGN7IXDQV5X9IP,2023-01-31,235083
R6XC1HPW2F2OYGFS2,2023-07-31,3611344
IC9TR053SOF1562RK,2024-12-31,4680872
KVXACS7SB5O59ARQP,2024-09-30,1641242
V4LNPTIOKCV53PIHE,2023-06-30,4140302
Y6PZ8ICUVSNUUVGC6,2024-09-30,5497937
V1SRV6QGJWWC8JVW0,2023-12-31,5725095
RVDHIRC8T2IA2OUOW,2023-11-30,1091178
0TTW5R9RRCJ0A9E5F,2023-08-31,1715629
E0ZB60NF3G5K4VREU,2024-03-31,547070
KLRH1ZESF492S056H,2023-06-30,5430802
KCLWQ204AZ5D2W8QN,2023-02-28,2706275
E0P3U76BSR8JVOEAS,2024-11-30,5703759
09SYGN7IXDQV5X9IP,2023-05-31,4101390
I9WWI0Z0BQBBIKN76,2024-01-31,1274687
IHBDM8XWHP0LUZ7NR,2024-04-30,745916
ITDKGZGY3D1CQ22P4,2023-06-30,5104128
VU97XYAGZZS7LOG4E,2023-03-31,6355062
FBMRRTAV36KC40D1Z,2023-01-31,794899
K7OLAZQZTOKBXBQVR,2023-06-30,5450949
DWJ0GFUKS12L7Y0G9,2023-09-30,2859033
KUD4O3VLEGN7O0D3B,2023-08-31,5483886
VIOMZ3660T8XTY6RC,2024-11-30,6153146
G6R001Q73KLXUDPTV,2024-09-30,4548627
XTUS49QJ4P8A8OCOB,2023-08-31,2293984
RRS0030J6RHTUQ2RK,2024-07-31,6980455
H9QCKG6XB01NQCZO9,2023-09-30,2952308
V2NG3GK779G8J7A0S,2023-08-31,4404257
WLHSCECOGSRZSUK44,2024-03-31,5480978
9F27PNL29KIWUI8V1,2023-10-31,4921546
OBPVWFPY1GIGMACGG,2023-04-30,3694682
AXH5M6W00RW6A1MRV,2024-10-31,6723506
NDN0JWDWD4PJPHKO9,2024-12-31,678289
LMHCV45KAJNLAV6CI,2023-01-31,4282592
LATSV8PKLN0G0XSCQ,2024-01-31,5215881
XEVZL0LOYONKMBWZY,2024-05-31,20399
9F27PNL29KIWUI8V1,2023-05-31,4106687
V4LNPTIOKCV53PIHE,2024-02-29,1565954
Z4HM8TL716AK8U17L,2024-12-31,6890549
SKH4GHZSBWP3QGNNK,2023-11-30,3877048
9DQS2WEXYFKHTNXUB,2024-07-31,6569787
FDS0N1SJL1R9K1IB4,2024-04-30,3144429
AIQASN1W6XH7O9AI8,2023-02-28,1397842
ITDKGZGY3D1CQ22P4,2023-03-31,3597627
NYD2J0FAEI05SQVAY,2023-10-31,6913911
WLHSCECOGSRZSUK44,2023-08-31,2110878
OQ5Y6DD3YNNZYDOK7,2023-12-31,4031199
KIULTEGOP4LWPVDNF,2023-09-30,5300187
ITDKGZGY3D1CQ22P4,2023-04-30,4754355
7ZQT4ZSYX2JJH3BHK,2023-10-31,2389729
5VVHS1PF81H0K03QN,2023-05-31,6577701
GFMBMLM8423RIAEDD,2024-04-30,1641732
X4YOXMSTBUXXCUOGK,2024-10-31,5422764
KLRH1ZESF492S056H,2023-11-30,5792174
BOWGL6ZFJ8V4E620T,2023-08-31,2555415
EX2GMK7UHXBM6P2OW,2024-06-30,1722681
2XCK13Y6KY3FTUJ0T,2024-05-31,6849331
AIQASN1W6XH7O9AI8,2024-09-30,3588101
Z8WH1L99SI8KI6NIV,2023-08-31,4286152
MGD1S17DROU71KI80,2023-03-31,5630635
OL2AN4Q8PF7T5DNJA,2024-07-31,2228194
IHBDM8XWHP0LUZ7NR,2023-11-30,287164
OEZ236PKMC6MBM3TB,2023-11-30,4692086
JTZWA92S5243CPZDG,2023-07-31,3726656
KXDUI2BQC1ZQ25O4C,2023-02-28,6283198
XYYJ1CS2J4N0KXRG2,2023-01-31,5216411
ORSVN3W6R6KI4L6K7,2024-09-30,67446
E0ZB60NF3G5K4VREU,2024-08-31,1175504
WLHSCECOGSRZSUK44,2023-02-28,6002967
FBMRRTAV36KC40D1Z,2024-02-29,4784841
1LFTDYT2H0I9ZG3S8,2023-09-30,3007275
9NWFWJ38XN31WBFXG,2024-09-30,1956962
7MQU99ZO49YXI2EDE,2023-07-31,1223421
AIQASN1W6XH7O9AI8,2024-03-31,2433230
ZBRHGSC2D0501QLTX,2024-06-30,1955281
375WULANW2HVOVK5J,2024-08-31,469149
2XCK13Y6KY3FTUJ0T,2024-01-31,388472
LYQEIHF686T8C6FUH,2024-07-31,771657
VHX791SAUG7W7R63P,2023-07-31,5011225
OJQZJBSXV2EELB04H,2023-06-30,4970235
79KX9A87LHVX4DRM4,2024-12-31,4433826
BOWGL6ZFJ8V4E620T,2024-06-30,5834770
IAXUMLO4Y4HXEEHHC,2023-05-31,6569188
N28ZTD9G5EYTS9PZY,2024-03-31,6704993
MHREEFELDOONUMCHP,2024-11-30,4586785
AIQASN1W6XH7O9AI8,2023-11-30,6752015
YVS0D5GU52ULP7YLI,2023-04-30,249560
375WULANW2HVOVK5J,2023-06-30,574391
V1SRV6QGJWWC8JVW0,2023-06-30,1191591
9Y4LCJDQLDU43LOK4,2023-03-31,2163687
3PS05CCLIJVJ8J2KT,2023-10-31,5886792
IAXUMLO4Y4HXEEHHC,2023-07-31,613758
2XCK13Y6KY3FTUJ0T,2023-04-30,1186315
MGD1S17DROU71KI80,2024-03-31,6516776
RVDHIRC8T2IA2OUOW,2023-01-31,6917556
09SYGN7IXDQV5X9IP,2024-07-31,6431670
3QWPW0GFU2JIA5UE4,2023-06-30,3922841
977FYO2GIYKZOIEB6,2023-10-31,1398159
OBPVWFPY1GIGMACGG,2023-06-30,3369932
E0P3U76BSR8JVOEAS,2023-02-28,6004978
SSP73CDZATG8LX9V1,2023-11-30,287471
79KX9A87LHVX4DRM4,2024-09-30,2550291
YVS0D5GU52ULP7YLI,2023-11-30,5114311
AIQASN1W6XH7O9AI8,2024-10-31,6645035
T3ZXYYXXBKASGDXYG,2023-03-31,3361495
PEYORPWSHOAUXOPB8,2023-08-31,3760189
73LDIXZVJOQFRMHNZ,2024-09-30,4375527
5SKDNN35BDFYCRZ3T,2023-04-30,924562
8JB7CPERPX344FYNY,2023-12-31,5484045
N28ZTD9G5EYTS9PZY,2023-03-31,2163940
0TQ17VI65FDDKT227,2023-12-31,5721914
5CS7MKN5CCCZTYEH8,2024-12-31,4693139
OL2AN4Q8PF7T5DNJA,2023-11-30,4953670
AXH5M6W00RW6A1MRV,2024-02-29,6690766
9NWFWJ38XN31WBFXG,2023-06-30,2765342
RVDHIRC8T2IA2OUOW,2023-07-31,6857083
H9QCKG6XB01NQCZO9,2023-07-31,5273566
1MFXZRYV4MFOBXIAJ,2024-05-31,404870
EX2GMK7UHXBM6P2OW,2024-07-31,3767239
XT6P8GPRWDSJSYZKR,2023-05-31,168047
ITDKGZGY3D1CQ22P4,2023-11-30,4700835
51UQ4XPBN39O7QIOO,2024-03-31,6642615
U01UYM0KLQO7ZMKXL,2024-08-31,1383101
F5AUCVPQMIXFMLKNY,2023-10-31,6038899
K7OLAZQZTOKBXBQVR,2024-09-30,1780659
J899WRG0VOOF1WON0,2024-02-29,4660198
IGOQX9XYBSRDMOZXT,2023-10-31,5320878
OEZ236PKMC6MBM3TB,2024-01-31,85160
K4BAGGWMVBZXC8Z0R,2024-08-31,1278051
7AQPGU50TED28A7G6,2023-11-30,5176020
IC9TR053SOF1562RK,2023-10-31,2438794
H9QCKG6XB01NQCZO9,2024-07-31,5695588
9DQS2WEXYFKHTNXUB,2023-05-31,6499198
3QWPW0GFU2JIA5UE4,2024-07-31,5830274
F5AUCVPQMIXFMLKNY,2024-02-29,6878619
E0ZB60NF3G5K4VREU,2024-02-29,4735744
ITDKGZGY3D1CQ22P4,2024-05-31,1803736
MUIZHHC8NUPU3856X,2023-09-30,3408278
977FYO2GIYKZOIEB6,2023-06-30,6569648
NYD2J0FAEI05SQVAY,2024-10-31,5558724
6RNZ6V20ZBCHCCIPT,2024-06-30,216676
KVXACS7SB5O59ARQP,2023-11-30,4101096
5VVHS1PF81H0K03QN,2024-05-31,4078090
E0ZB60NF3G5K4VREU,2023-02-28,1622272
51UQ4XPBN39O7QIOO,2024-05-31,348594
XEVZL0LOYONKMBWZY,2024-01-31,3074715
FDS0N1SJL1R9K1IB4,2024-08-31,2766986
OL2AN4Q8PF7T5DNJA,2023-10-31,2531386
PEYORPWSHOAUXOPB8,2024-10-31,6857034
BJ37EOP5EGMDLO3MP,2023-07-31,5028695
8JB7CPERPX344FYNY,2024-03-31,5288896
AXH5M6W00RW6A1MRV,2023-06-30,4315749
IGOQX9XYBSRDMOZXT,2023-09-30,5476344
T16X6RLA2J523LYRZ,2024-08-31,2459294
WI9LBMXJ0YIBEJ357,2023-09-30,5544945
UXT0SVW2ICMQTZACJ,2024-08-31,1286930
4M67RWDJ0PY180OMY,2023-09-30,5429158
Y6PZ8ICUVSNUUVGC6,2023-10-31,3034102
7AQPGU50TED28A7G6,2023-09-30,4430379
4TL0TI5WAALM6P0AH,2023-01-31,3056238
ORSVN3W6R6KI4L6K7,2024-11-30,4709541
DLTTACGP89H6U008M,2024-09-30,467391
YVS0D5GU52ULP7YLI,2024-09-30,4260769
4HER62QO48L3HOLG6,2023-04-30,3620056
XEVZL0LOYONKMBWZY,2023-03-31,2561507
15J0ZCH8C1O665RTF,2023-09-30,3738038
A4LKAXWACFA995KE1,2024-11-30,6030219
ORSVN3W6R6KI4L6K7,2023-12-31,2420100
RVDHIRC8T2IA2OUOW,2024-08-31,5367807
FBMRRTAV36KC40D1Z,2023-07-31,4890610
Y6PZ8ICUVSNUUVGC6,2023-03-31,6411316
UOHQ6DHPAN7V486JH,2024-11-30,5602522
E0ZB60NF3G5K4VREU,2023-11-30,2374734
D7UUQ6CP4DWYGZF0Z,2023-04-30,1064949
A4JYPUIFCGXQSH8XL,2024-12-31,2185436
73LDIXZVJOQFRMHNZ,2024-03-31,404685
NDN0JWDWD4PJPHKO9,2024-07-31,758301
73LDIXZVJOQFRMHNZ,2023-11-30,3762878
C89YVYS8RINE8LHLO,2023-12-31,333726
C89YVYS8RINE8LHLO,2024-11-30,6753915
4HER62QO48L3HOLG6,2024-12-31,5867116
MHREEFELDOONUMCHP,2023-08-31,4504385
C89YVYS8RINE8LHLO,2023-02-28,1379177
IGOQX9XYBSRDMOZXT,2024-04-30,2622158
UXT0SVW2ICMQTZACJ,2024-06-30,5433559
DLTTACGP89H6U008M,2023-08-31,1839666
K2DBNBQ09G1QCCD7W,2023-04-30,4118196
K2DBNBQ09G1QCCD7W,2024-07-31,1958162
XEVZL0LOYONKMBWZY,2024-06-30,2582548
375WULANW2HVOVK5J,2023-12-31,4963886
E0P3U76BSR8JVOEAS,2024-09-30,6513963
E0ZB60NF3G5K4VREU,2023-07-31,4974064
Y9LTUSGD9M83VAB0I,2023-09-30,2469438
MUIZHHC8NUPU3856X,2024-05-31,2286445
BJ37EOP5EGMDLO3MP,2023-08-31,547124
PQHMTD7TS2Q7AM9C6,2023-07-31,5422803
IC9TR053SOF1562RK,2024-04-30,3709782
SKH4GHZSBWP3QGNNK,2024-06-30,4493645
XYYJ1CS2J4N0KXRG2,2024-05-31,5776205
R7Q4Z9AULIORDJQ9D,2023-04-30,5619155
IAXUMLO4Y4HXEEHHC,2024-09-30,3856141
4M67RWDJ0PY180OMY,2024-09-30,3968695
KUD4O3VLEGN7O0D3B,2024-01-31,1884323
QNCADSU9WB6X6JEXE,2023-05-31,2216970
977FYO2GIYKZOIEB6,2023-07-31,4942634
9Y4LCJDQLDU43LOK4,2023-11-30,5278153
FXIQJ8T0RNKU5YYZL,2024-08-31,22674
PSRCQ6DW4S2N7175C,2024-12-31,882415
R6XC1HPW2F2OYGFS2,2023-11-30,1680892
BUDE132ZGBWCF5SIZ,2023-05-31,2776455
5P7TLU9HROJCCH8XF,2023-10-31,4219958
AXH5M6W00RW6A1MRV,2023-05-31,5032983
OEZ236PKMC6MBM3TB,2023-09-30,4403047
MHREEFELDOONUMCHP,2023-09-30,5736531
N28ZTD9G5EYTS9PZY,2024-11-30,1504696
OQ5Y6DD3YNNZYDOK7,2024-12-31,3595837
0TQ17VI65FDDKT227,2024-09-30,5354708
GTLAUQABS3K1IHWCJ,2023-05-31,3595046
KCLWQ204AZ5D2W8QN,2024-09-30,472092
FA2OC6FGIMI4S37PU,2023-11-30,2331615
IC9TR053SOF1562RK,2023-07-31,5175918
I9WWI0Z0BQBBIKN76,2024-08-31,5011536
5CS7MKN5CCCZTYEH8,2024-01-31,6357557
BOWGL6ZFJ8V4E620T,2023-09-30,2448134
XEVZL0LOYONKMBWZY,2024-11-30,2705118
XT6P8GPRWDSJSYZKR,2023-09-30,6383593
FXIQJ8T0RNKU5YYZL,2024-03-31,1823277
FBMRRTAV36KC40D1Z,2024-03-31,137339
7ZQT4ZSYX2JJH3BHK,2023-11-30,6985958
D0HW4TD0CUW9XJQPX,2023-08-31,2962510
V1SRV6QGJWWC8JVW0,2023-09-30,2813994
K4BAGGWMVBZXC8Z0R,2024-09-30,2446871
OBPVWFPY1GIGMACGG,2024-06-30,2916662
ZBRHGSC2D0501QLTX,2024-11-30,2762313
THJ9OBJH3W6ANRCMS,2024-01-31,3658566
BUDE132ZGBWCF5SIZ,2023-07-31,5142753
7MQU99ZO49YXI2EDE,2023-05-31,126280
K4BAGGWMVBZXC8Z0R,2023-05-31,847435
E0ZB60NF3G5K4VREU,2024-10-31,801599
2XCK13Y6KY3FTUJ0T,2024-06-30,5602118
6RNZ6V20ZBCHCCIPT,2023-02-28,5079377
K7OLAZQZTOKBXBQVR,2023-07-31,6696768
PQHMTD7TS2Q7AM9C6,2023-01-31,3531348
ITDKGZGY3D1CQ22P4,2024-02-29,2866249
83Y10YDW1OI06N9ZM,2024-09-30,4622749
OQ5Y6DD3YNNZYDOK7,2024-09-30,1786932
BOWGL6ZFJ8V4E620T,2024-11-30,4178352
5SKDNN35BDFYCRZ3T,2023-01-31,2578451
7ZQT4ZSYX2JJH3BHK,2023-05-31,6895572
AIQASN1W6XH7O9AI8,2024-01-31,2400276
Y9LTUSGD9M83VAB0I,2024-05-31,441657
FA2OC6FGIMI4S37PU,2023-08-31,4497127
KLRH1ZESF492S056H,2024-04-30,6012279
4M67RWDJ0PY180OMY,2023-11-30,2878419
5CS7MKN5CCCZTYEH8,2024-06-30,1691608
63FO2A0KBYVLDNRAA,2024-08-31,6425876
BUDE132ZGBWCF5SIZ,2023-10-31,4280421
FDS0N1SJL1R9K1IB4,2023-05-31,1649722
Y6PZ8ICUVSNUUVGC6,2024-12-31,6517576
RRS0030J6RHTUQ2RK,2024-05-31,4748956
KVXACS7SB5O59ARQP,2023-07-31,5197472
977FYO2GIYKZOIEB6,2024-11-30,6304396
09SYGN7IXDQV5X9IP,2024-03-31,4259916
73LDIXZVJOQFRMHNZ,2024-11-30,4164807
9NWFWJ38XN31WBFXG,2023-11-30,487266
F5AUCVPQMIXFMLKNY,2024-08-31,4367957
7MQU99ZO49YXI2EDE,2023-12-31,6980685
BUDE132ZGBWCF5SIZ,2024-04-30,5726305
XYYJ1CS2J4N0KXRG2,2023-04-30,1018321
9NWFWJ38XN31WBFXG,2024-04-30,3769389
ZBRHGSC2D0501QLTX,2024-05-31,6746982
LMHCV45KAJNLAV6CI,2023-06-30,2574155
83Y10YDW1OI06N9ZM,2024-10-31,6424045
UP8K03IYUM8HZ8NLC,2023-03-31,2685242
15J0ZCH8C1O665RTF,2024-12-31,2879908
9G2XZ3XNAY7J6KTJN,2024-06-30,1791345
XTUS49QJ4P8A8OCOB,2023-12-31,2010180
OCCKGZM8DIZCYX3CJ,2023-10-31,6860783
4TL0TI5WAALM6P0AH,2024-09-30,3575741
U01UYM0KLQO7ZMKXL,2024-10-31,5740324
XTUS49QJ4P8A8OCOB,2023-07-31,2048027
Y6PZ8ICUVSNUUVGC6,2023-04-30,4311881
7AQPGU50TED28A7G6,2023-02-28,4602472
AIQASN1W6XH7O9AI8,2023-07-31,4267154
1MFXZRYV4MFOBXIAJ,2023-09-30,1932318
869YG73INQB5W1NQT,2023-12-31,2976546
DJXLPRMY5ZZMANLU6,2023-02-28,6573110
9IL03MCKH41ZX8EVC,2024-06-30,404126
GTLAUQABS3K1IHWCJ,2023-01-31,2831374
D7UUQ6CP4DWYGZF0Z,2023-02-28,61746
6N7C2M20A97S9IENG,2023-03-31,4285973
V1SRV6QGJWWC8JVW0,2024-11-30,3400670
G6R001Q73KLXUDPTV,2024-11-30,201770
SUK8675QWKY38XUZB,2024-01-31,5921164
9F27PNL29KIWUI8V1,2024-02-29,6758827
PSRCQ6DW4S2N7175C,2024-01-31,1579888
T16X6RLA2J523LYRZ,2023-01-31,5802522
15J0ZCH8C1O665RTF,2024-02-29,5966343
09SYGN7IXDQV5X9IP,2024-08-31,233751
IHBDM8XWHP0LUZ7NR,2023-01-31,2187585
VU97XYAGZZS7LOG4E,2024-08-31,6123877
GTLAUQABS3K1IHWCJ,2023-06-30,2521438
15J0ZCH8C1O665RTF,2023-07-31,4360051
XTUS49QJ4P8A8OCOB,2024-04-30,919704
KLRH1ZESF492S056H,2024-12-31,6847080
G6R001Q73KLXUDPTV,2023-05-31,1144329
V1SRV6QGJWWC8JVW0,2023-08-31,2499469
DLRDFJ40BGVP9H10W,2024-01-31,4410005
U01UYM0KLQO7ZMKXL,2023-12-31,6002191
F5AUCVPQMIXFMLKNY,2024-04-30,2392719
FQJP2PBU50DG45YX3,2024-11-30,3301026
73LDIXZVJOQFRMHNZ,2023-05-31,3660271
6T645BU8TYM8VGXKO,2024-10-31,4798947
VZPJAHRX89B2CPA40,2024-02-29,318852
4TL0TI5WAALM6P0AH,2024-12-31,759814
VIOMZ3660T8XTY6RC,2024-01-31,3884333
7AQPGU50TED28A7G6,2023-07-31,5987894
PSRCQ6DW4S2N7175C,2023-08-31,5975886
EX2GMK7UHXBM6P2OW,2023-05-31,505192
4HER62QO48L3HOLG6,2024-08-31,6755276
09SYGN7IXDQV5X9IP,2024-09-30,1805799
4HER62QO48L3HOLG6,2023-06-30,1929658
6O996AT92IZ9926S5,2023-11-30,713389
F5AUCVPQMIXFMLKNY,2024-12-31,6059641
5P7TLU9HROJCCH8XF,2024-05-31,4305789
1MFXZRYV4MFOBXIAJ,2024-07-31,619151
DWJ0GFUKS12L7Y0G9,2024-09-30,5396543
SSP73CDZATG8LX9V1,2024-09-30,5786312
4TL0TI5WAALM6P0AH,2023-05-31,547574
V1SRV6QGJWWC8JVW0,2024-01-31,739736
LMHCV45KAJNLAV6CI,2023-07-31,775213
D0HW4TD0CUW9XJQPX,2024-03-31,5439
15J0ZCH8C1O665RTF,2023-03-31,1892136
IGOQX9XYBSRDMOZXT,2023-12-31,6537601
JTZWA92S5243CPZDG,2023-08-31,6845058
375WULANW2HVOVK5J,2024-06-30,1704878
T16X6RLA2J523LYRZ,2023-08-31,812405
OBPVWFPY1GIGMACGG,2024-01-31,1723522
R6XC1HPW2F2OYGFS2,2023-10-31,3949959
63FO2A0KBYVLDNRAA,2024-12-31,670219
375WULANW2HVOVK5J,2024-01-31,6898166
SKH4GHZSBWP3QGNNK,2024-07-31,6689724
EX2GMK7UHXBM6P2OW,2023-03-31,6052363
ITDKGZGY3D1CQ22P4,2023-10-31,5855426
FA2OC6FGIMI4S37PU,2024-06-30,2064399
BJSA6PK9IP3QNY0GU,2023-12-31,1710655
I9WWI0Z0BQBBIKN76,2024-05-31,3019185
6RNZ6V20ZBCHCCIPT,2023-08-31,3157744
A4JYPUIFCGXQSH8XL,2024-03-31,5339367
PSRCQ6DW4S2N7175C,2024-09-30,3596255
MUIZHHC8NUPU3856X,2023-12-31,4196283
VNTN2FOUQHBSVRLKZ,2024-09-30,3660851
GFMBMLM8423RIAEDD,2023-11-30,1531023
FXIQJ8T0RNKU5YYZL,2024-05-31,1503507
I9WWI0Z0BQBBIKN76,2023-07-31,476355
KVXACS7SB5O59ARQP,2024-02-29,2237238
